73	h5nc	4E									
Comment	Index	siID	XAdj	YAdj	Speed	Flag	ShootAngle	MoveR	StartAngle	Blend	
-	0	SI_PlayerGhost_00_0	-10	-15	1	10	0	0	0	0	
-	1	SI_PlayerGhost_00_0	10	-15	1	30	0	0	0	0	
-	2	SI_PlayerGhost_00_0	-30	-10	1	10	0	0	0	0	
-	3	SI_PlayerGhost_00_0	30	-10	1	30	0	0	0	0	
-	4	SI_PlayerGhost_00_1	10	15	1	10	0	0	0	0	
-	5	SI_PlayerGhost_00_1	-10	15	1	30	0	0	0	0	
-	6	SI_PlayerGhost_00_1	30	10	1	10	0	0	0	0	
-	7	SI_PlayerGhost_00_1	-30	10	1	30	0	0	0	0	
-	8	SI_PlayerGhost_01_0	-8	-25	1	14	0	0	0	0	
-	9	SI_PlayerGhost_01_0	8	-25	1	34	0	0	0	0	
-	10	SI_PlayerGhost_01_0	-25	-15	1	14	0	0	0	0	
-	11	SI_PlayerGhost_01_0	25	-15	1	34	0	0	0	0	
-	12	SI_PlayerGhost_01_1	5	15	1	14	0	0	0	0	
-	13	SI_PlayerGhost_01_1	-5	15	1	34	0	0	0	0	
-	14	SI_PlayerGhost_01_1	8	25	1	14	0	0	0	0	
-	15	SI_PlayerGhost_01_1	-8	25	1	34	0	0	0	0	
-	16	SI_PlayerGhost_02	-20	10	1	16	0	0	0	0	
-	17	SI_PlayerGhost_02	20	10	1	36	0	0	0	0	
-	18	SI_PlayerGhost_02	-30	0	1	16	0	0	0	0	
-	19	SI_PlayerGhost_02	30	0	1	36	0	0	0	0	
-	20	SI_PlayerGhost_02	20	10	1	16	0	0	0	2	
-	21	SI_PlayerGhost_02	-20	10	1	36	0	0	0	2	
-	22	SI_PlayerGhost_02	30	0	1	16	0	0	0	2	
-	23	SI_PlayerGhost_02	-30	0	1	36	0	0	0	2	
-	24	SI_PlayerGhost_03	0	0	1	19C	0	0	0	2	
-	25	SI_PlayerGhost_03	0	0	1	1BC	0	0	0	2	
-	26	SI_PlayerGhost_03	0	0	1	19C	0	0	0	2	
-	27	SI_PlayerGhost_03	0	0	1	1BC	0	0	0	2	
-	28	SI_PlayerGhost_03	0	0	1	11C	0	0	0	0	
-	29	SI_PlayerGhost_03	0	0	1	13C	0	0	0	0	
-	30	SI_PlayerGhost_03	0	0	1	11C	0	0	0	0	
-	31	SI_PlayerGhost_03	0	0	1	13C	0	0	0	0	
-	32	SI_PlayerGhost_04	-18	-32	1	12	0	0	0	0	
-	33	SI_PlayerGhost_04	18	-32	1	32	0	0	0	0	
-	34	SI_PlayerGhost_04	-32	8	1	12	9000	0	0	0	
-	35	SI_PlayerGhost_04	32	8	1	32	-9000	0	0	0	
-	36	SI_PlayerGhost_04	32	-32	1	12	0	0	0	0	
-	37	SI_PlayerGhost_04	-32	-32	1	32	0	0	0	0	
-	38	SI_PlayerGhost_04	18	8	1	12	-9000	0	0	0	
-	39	SI_PlayerGhost_04	-18	8	1	32	9000	0	0	0	
-	40	SI_PlayerGhost_05	-30	-5	1	11	0	0	0	0	
-	41	SI_PlayerGhost_05	30	-5	1	11	0	0	0	0	
