73	h5nc	42							
Spell	SpellNumber	SpellName	TimeLimit	Remain	UserID	Bonus	TurnToScene	SpellFlag	Battle
104	1	Frozen Butterfly	28	3	20	1000000	108	0	0
108	2	Aureate Harvest	37	2	20	1000000	112	0	0
112	3	Southern Mango	40	1	20	1000000	116	0	0
116	4	Unfortunate Twist	43	0	20	1000000	100200	0	0
204	5	Foxy Hideout	32	5	21	1500000	208	0	3
208	6	Lucky Rabbit	37	4	21	1500000	212	0	3
212	7	White Fog	44	3	21	1500000	216	0	3
216	8	Aquamarine	46	2	21	1500000	220	0	3
220	9	Diffusion	47	1	21	1500000	224	0	3
224	10	Sensitive Check	47	0	21	1500000	100300	0	3
304	11	Full Moon Monster	35	8	22	2000000	308	0	5
308	12	Dawn of Legendary	40	7	22	2000000	312	0	5
312	13	Artemis	47	6	22	2000000	316	0	5
316	14	Solar Shooter	49	5	22	2000000	320	0	5
320	15	Magic of Rebirth	50	4	22	2000000	324	0	5
324	16	Linear Condition	50	3	22	2000000	328	0	5
328	17	Neo-Generation	35	2	22	2000000	332	0	5
332	18	Thousand Possibilities	40	1	22	2000000	336	0	5
340	19	Gravitational Stars	32	0	22	2000000	200000	14	5
105	20	Colorful Keyboard	28	3	20	1000000	109	0	1
109	21	Unbalanced Triplet	37	2	20	1000000	113	0	1
113	22	Homesick	42	1	20	1000000	117	0	1
117	23	Intimate Curse	43	0	20	1000000	100201	0	1
205	24	Ruby Eye	47	5	21	1500000	209	0	4
209	25	D¨¦j¨¤ vu	47	4	21	1500000	213	0	4
213	26	Dancing Flower	32	3	21	1500000	217	0	4
217	27	Spring Bud	37	2	21	1500000	221	0	4
221	28	Graceful Petal	44	1	21	1500000	225	0	4
225	29	Direct Poison	46	0	21	1500000	100301	0	4
305	30	Death of Phoenix	50	8	22	2000000	309	0	5
309	31	Everlasting Score	50	7	22	2000000	313	0	5
313	32	Concept of Destiny	50	6	22	2000000	317	0	5
317	33	Insecticide Gas	47	5	22	2000000	321	0	5
321	34	Winter Firefly	28	4	22	2000000	325	0	5
325	35	Prime History	43	3	22	2000000	329	0	5
329	36	Great Creation	43	2	22	2000000	333	0	5
333	37	Wane vs. Wax	50	1	22	2000000	337	0	5
341	38	Gravitational Stars	32	0	22	2000000	200000	14	5
106	39	Intensive Flash	43	3	20	1000000	110	0	2
110	40	Release Shutter	43	2	20	1000000	114	0	2
114	41	Painful Intro	37	1	20	1000000	118	0	2
118	42	Berceuse	40	0	20	1000000	100202	0	2
206	43	Rolls¡¯ Dance	47	5	21	1500000	210	0	4
210	44	Russian Doll	47	4	21	1500000	214	0	4
214	45	Kyoto Doll	47	3	21	1500000	218	0	4
218	46	Hourai Doll	47	2	21	1500000	222	0	4
222	47	London Doll	47	1	21	1500000	226	0	4
226	48	Shanghai Doll	47	0	21	1500000	100302	0	4
306	49	Summer Visitation	32	8	22	2000000	310	0	5
310	50	Golden Fall	37	7	22	2000000	314	0	5
314	51	Silver Moonlight	47	6	22	2000000	318	0	5
318	52	Life Game	49	5	22	2000000	322	0	5
322	53	Toxic Apple	44	4	22	2000000	326	0	5
326	54	Poison Triangle	46	3	22	2000000	330	0	5
330	55	Never Discard	47	2	22	2000000	334	0	5
334	56	Confused	50	1	22	2000000	338	0	5
342	57	Gravitational Stars	32	0	22	2000000	200000	14	5
1204	58	Unknown	128	0	20	10000000	200000	14	0
